8/21/2026 2:05:00 PM | INFO | 8832 | Windows PowerShell | Script block logging: Downloading payload from https://malicious-phish.example.com/invoice_2026.zip
8/21/2026 2:05:15 PM | INFO | 8832 | Windows PowerShell | File download complete: C:\Users\victim\Downloads\invoice_2026.zip (524288 bytes)
8/21/2026 2:05:30 PM | INFO | 8832 | Windows Explorer | Extracted archive: invoice_2026.zip -> invoice_2026.exe
8/21/2026 2:06:00 PM | WARNING | 8832 | Windows Defender | Real-time protection: Threat detected but access denied by policy
8/21/2026 2:06:30 PM | INFO | 4416 | Security-SPP | License activation for Windows 10 Pro
8/21/2026 2:07:00 PM | INFO | 8832 | Security | User account: victim - logon event
8/21/2026 2:07:05 PM | INFO | 8832 | Security | Process created: C:\Users\victim\Downloads\invoice_2026.exe (PID: 7721)
8/21/2026 2:07:10 PM | WARNING | 7721 | Sysmon | Process access: invoice_2026.exe accessed lsass.exe
8/21/2026 2:07:15 PM | WARNING | 7721 | Sysmon | Registry modification: HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run
8/21/2026 2:07:30 PM | ERROR | 7721 | Sysmon | DNS query failed for c2-server.evil.example.com (NXDOMAIN)
8/21/2026 2:08:00 PM | WARNING | 7721 | Sysmon | File write: C:\Users\victim\Documents\report.docx -> report.docx.locked
8/21/2026 2:08:05 PM | WARNING | 7721 | Sysmon | File write: C:\Users\victim\Documents\budget.xlsx -> budget.xlsx.locked
8/21/2026 2:08:10 PM | WARNING | 7721 | Sysmon | File write: C:\Users\victim\Documents\presentation.pptx -> presentation.pptx.locked
8/21/2026 2:08:15 PM | WARNING | 7721 | Sysmon | File write: C:\Users\victim\Pictures\photo.jpg -> photo.jpg.locked
8/21/2026 2:08:20 PM | WARNING | 7721 | Sysmon | File write: C:\Users\victim\Pictures\screenshot.png -> screenshot.png.locked
8/21/2026 2:09:00 PM | INFO | 7721 | Sysmon | File created: C:\Users\victim\Desktop\README_DECRYPT.txt
8/21/2026 2:09:05 PM | INFO | 7721 | Sysmon | Ransom note: "All your files have been encrypted. Send 0.5 BTC to..."
8/21/2026 2:10:00 PM | INFO | 7721 | Sysmon | Network connection: 198.51.100.23:443 (outbound HTTPS)
8/21/2026 2:10:05 PM | WARNING | 7721 | Sysmon | Network connection: 198.51.100.23:443 (sustained connection - C2 suspected)
8/21/2026 2:11:00 PM | INFO | 8832 | Security | Audit log cleared by user victim (event ID 1102)
